Input_Len,Pred_Len,Rate,Model,Loss,Active_Features_Count,Active_Features
100,900,10,NoVertical,W1,1,017|era5_pressure_merged_5hPa_filtered_normalized|q
100,900,10,NoVertical,W2,1,003|era5_pressure_merged_1hPa_filtered_normalized|pv
100,1500,10,NoVertical,TailMSE,1,085|era5_surface_merged_all_filter_normalized|ttrc
100,1500,10,NoVertical,FadeTailDist,1,197|era5_surface_merged_all_filter_normalized|viec
100,1500,10,NoVertical,TailW1,1,054|era5_pressure_merged_650hPa_filtered_normalized|o3
100,1500,10,NoVertical,FadeDist,1,066|era5_pressure_merged_650hPa_filtered_normalized|vo
100,1500,10,NoVertical,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,1500,10,NoVertical,W1,1,175|era5_surface_merged_all_filter_normalized|ptype
100,1500,10,NoVertical,W2,1,035|era5_pressure_merged_30hPa_filtered_normalized|expver
100,2100,10,NoVertical,TailMSE,1,024|era5_pressure_merged_30hPa_filtered_normalized|d
100,2100,10,NoVertical,FadeTailDist,1,099|era5_surface_merged_all_filter_normalized|nsss
100,2100,10,NoVertical,TailW1,1,047|era5_pressure_merged_200hPa_filtered_normalized|v
100,2100,10,NoVertical,FadeDist,1,151|era5_surface_merged_all_filter_normalized|v10n
100,2100,10,NoVertical,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2100,10,NoVertical,W1,1,057|era5_pressure_merged_650hPa_filtered_normalized|ciwc
100,2100,10,NoVertical,W2,1,139|era5_surface_merged_all_filter_normalized|v10
100,2700,10,NoVertical,FadeDist,1,110|era5_surface_merged_all_filter_normalized|avg_ingwss
100,2700,10,NoVertical,FadeTailDist,1,036|era5_pressure_merged_200hPa_filtered_normalized|d
100,2700,10,NoVertical,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2700,10,NoVertical,TailMSE,1,007|era5_pressure_merged_1hPa_filtered_normalized|u
100,2700,10,NoVertical,TailW1,1,024|era5_pressure_merged_30hPa_filtered_normalized|d
100,2700,10,NoVertical,W1,1,039|era5_pressure_merged_200hPa_filtered_normalized|o3
100,2700,10,NoVertical,W2,1,098|era5_surface_merged_all_filter_normalized|mgws
100,100,10,SimpleLSTM,TailMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,100,10,SimpleLSTM,FadeTailDist,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,100,10,SimpleLSTM,TailW1,1,240|era5_surface_merged_all_filter_normalized|mntpr
